Isci_ID,Isci_Yas,Isci_Egitim,Isci_Tecrube,Isci_Tercih_Alanlari,Isci_Sehir,Isci_Ilce,Isci_Beklenen_Ucret,Ilan_ID,Firma_Adi,Ilan_Is_Alani,Ilan_Sehir,Ilan_Ilce,Ilan_Egitim_Gereksinimi,Ilan_Tecrube_Sarti,Ilan_Yas_Siniri,Ilan_Cinsiyet,Ilan_Konaklama,Ilan_Sigorta,Ilan_Ucret,Uygunluk
isci_0001,56,Üniversite,9,Limon Hasadı,Ordu,Fatsa,29375,ilan_0001,Firma_31,Çay Hasadı,Bitlis,Tatvan,Lise,3,25-50,Bayan,Yok,Var,26016,0.2
isci_0002,42,Üniversite,16,Çapa,Konya,Meram,59926,ilan_0002,Firma_48,Toprak İşleme,Iğdır,Aralık,Ortaokul,4,26-48,Bayan,Yok,Var,53222,0.5
isci_0003,50,Lise,6,Ürün Hasadı,Tekirdağ,Çorlu,18829,ilan_0003,Firma_72,Kiraz Hasadı,Adıyaman,Besni,İlkokul,0,23-59,Bayan,Var,Yok,33069,0.8
isci_0004,20,Lise,17,Çay Hasadı,Ağrı,Patnos,56951,ilan_0004,Firma_89,Kayısı Hasadı,Hatay,Defne,Ortaokul,4,21-46,Bayan,Yok,Var,40201,0.2
isci_0005,31,Üniversite,5,"Limon Hasadı, Fidan Dikimi",Siirt,Kurtalan,20034,ilan_0005,Firma_7,Sera Bakımı,Diyarbakır,Bağlar,Ortaokul,6,28-58,Erkek,Var,Var,36203,0.6
isci_0006,38,İlkokul,19,"Sera Bakımı, Pamuk Toplama",Edirne,Merkez,25971,ilan_0006,Firma_94,Elma Toplama,Bilecik,Söğüt,Lise,1,30-56,Bayan,Var,Var,39859,0.8
isci_0007,33,İlkokul,0,"Ceviz Hasadı, Pamuk Toplama, Çay Hasadı",Adıyaman,Merkez,33722,ilan_0007,Firma_91,Kayısı Hasadı,Ankara,Keçiören,Lise,9,19-60,Erkek,Var,Var,52334,0.6
isci_0008,37,İlkokul,1,Limon Hasadı,Mardin,Artuklu,57400,ilan_0008,Firma_52,Pamuk Toplama,Eskişehir,Sivrihisar,Üniversite,4,21-58,Bayan,Yok,Var,35130,0.3
isci_0009,20,Lise,16,"Sera Bakımı, Çay Hasadı",İstanbul,Kadıköy,26135,ilan_0009,Firma_74,Elma Toplama,Kocaeli,İzmit,Üniversite,1,23-51,Erkek,Yok,Yok,50247,0.5
isci_0010,32,Üniversite,7,"Elma Toplama, Fidan Dikimi, Kayısı Hasadı",Adana,Seyhan,42697,ilan_0010,Firma_43,Limon Hasadı,Manisa,Şehzadeler,Ortaokul,3,21-48,Erkek,Var,Var,56146,0.8
isci_0011,38,Üniversite,5,"Ceviz Hasadı, Çay Hasadı",Osmaniye,Düziçi,57197,ilan_0011,Firma_15,Kiraz Hasadı,Şanlıurfa,Siverek,İlkokul,5,25-60,Bayan,Yok,Yok,39044,0.5
isci_0012,27,İlkokul,19,"Ceviz Hasadı, Çay Hasadı, Pamuk Toplama",Diyarbakır,Sur,58736,ilan_0012,Firma_43,Pamuk Toplama,Amasya,Merkez,İlkokul,9,22-51,Farketmez,Yok,Yok,23103,0.7
isci_0013,58,İlkokul,11,"Limon Hasadı, Elma Toplama, Ürün Hasadı",Kırklareli,Merkez,43423,ilan_0013,Firma_53,Ürün Hasadı,Bursa,Osmangazi,Lise,3,25-56,Erkek,Yok,Yok,51691,0.5
isci_0014,60,Ortaokul,5,Çapa,Kars,Merkez,18561,ilan_0014,Firma_2,Ceviz Hasadı,Kırklareli,Babaeski,İlkokul,0,21-40,Erkek,Var,Yok,49032,0.5
isci_0015,31,Ortaokul,6,Ceviz Hasadı,Bitlis,Ahlat,28463,ilan_0015,Firma_86,Kayısı Hasadı,Trabzon,Yomra,İlkokul,7,18-51,Farketmez,Var,Var,52596,0.6
isci_0016,39,Üniversite,17,"Çapa, Kayısı Hasadı, Sera Bakımı",Bitlis,Tatvan,18605,ilan_0016,Firma_53,Pamuk Toplama,Adıyaman,Merkez,Ortaokul,7,24-41,Bayan,Var,Var,25266,0.8
isci_0017,26,İlkokul,13,"Toprak İşleme, Ceviz Hasadı, Limon Hasadı",Çankırı,Ilgaz,23292,ilan_0017,Firma_19,Ürün Hasadı,Kilis,Musabeyli,Ortaokul,5,25-44,Farketmez,Var,Yok,54273,0.8
isci_0018,48,İlkokul,2,Limon Hasadı,Konya,Selçuklu,17628,ilan_0018,Firma_14,Ürün Hasadı,Adıyaman,Merkez,Üniversite,10,28-54,Erkek,Var,Var,41932,0.6
isci_0019,45,Üniversite,20,"Kiraz Hasadı, Fidan Dikimi",Hakkari,Merkez,38128,ilan_0019,Firma_58,Kayısı Hasadı,Hatay,Defne,Üniversite,10,29-55,Bayan,Var,Var,35735,0.7
isci_0020,53,Üniversite,19,Pamuk Toplama,Zonguldak,Merkez,59571,ilan_0020,Firma_26,Ceviz Hasadı,Ardahan,Göle,Lise,3,20-48,Bayan,Yok,Var,46025,0.2
isci_0021,24,Ortaokul,10,"Çapa, Ürün Hasadı, Ceviz Hasadı",Kütahya,Simav,49619,ilan_0021,Firma_57,Fidan Dikimi,Tokat,Turhal,İlkokul,6,19-45,Farketmez,Var,Yok,46998,0.5
isci_0022,60,Ortaokul,16,"Çay Hasadı, Çapa, Kiraz Hasadı",Ordu,Fatsa,40955,ilan_0022,Firma_90,Kayısı Hasadı,Ağrı,Merkez,İlkokul,1,26-40,Farketmez,Var,Yok,45909,0.5
isci_0023,52,Lise,6,"Kiraz Hasadı, Çay Hasadı, Kayısı Hasadı",Niğde,Çiftlik,21257,ilan_0023,Firma_75,Elma Toplama,Denizli,Pamukkale,İlkokul,7,23-53,Erkek,Var,Var,52961,0.6
isci_0024,36,Üniversite,15,"Kiraz Hasadı, Pamuk Toplama, Ceviz Hasadı",Adana,Çukurova,56768,ilan_0024,Firma_31,Çapa,Ankara,Keçiören,Lise,8,23-54,Farketmez,Var,Var,57537,0.8
isci_0025,33,Üniversite,7,Çay Hasadı,Niğde,Bor,20673,ilan_0025,Firma_68,Fidan Dikimi,Muğla,Menteşe,Lise,9,22-42,Farketmez,Yok,Var,53515,0.6
isci_0026,22,Üniversite,2,Limon Hasadı,Sinop,Merkez,57422,ilan_0026,Firma_77,Çay Hasadı,İstanbul,Beşiktaş,Lise,6,24-60,Erkek,Var,Yok,28024,0.0
isci_0027,31,Üniversite,14,Sera Bakımı,Eskişehir,Tepebaşı,55728,ilan_0027,Firma_80,Çay Hasadı,Adana,Seyhan,Üniversite,5,18-41,Farketmez,Yok,Var,45499,0.7
isci_0028,32,Lise,4,Kayısı Hasadı,Malatya,Yeşilyurt,50163,ilan_0028,Firma_98,Çay Hasadı,Sinop,Ayancık,Lise,2,18-47,Farketmez,Yok,Var,22601,0.7
isci_0029,40,Lise,12,"Çapa, Pamuk Toplama, Fidan Dikimi",Niğde,Bor,40041,ilan_0029,Firma_66,Kayısı Hasadı,Gaziantep,Nizip,Ortaokul,3,30-59,Erkek,Yok,Var,29602,0.5
isci_0030,53,Üniversite,17,Kayısı Hasadı,Edirne,Keşan,53350,ilan_0030,Firma_62,Limon Hasadı,Ankara,Keçiören,İlkokul,0,30-47,Erkek,Yok,Var,49996,0.2
isci_0031,46,İlkokul,16,Çapa,Gaziantep,Şehitkamil,23007,ilan_0031,Firma_10,Ürün Hasadı,Isparta,Eğirdir,İlkokul,9,23-43,Erkek,Var,Yok,38281,0.7
isci_0032,31,İlkokul,18,"Kayısı Hasadı, Çapa",Karaman,Merkez,24186,ilan_0032,Firma_48,Toprak İşleme,Mersin,Mezitli,Üniversite,0,26-60,Farketmez,Var,Var,40703,0.8
isci_0033,30,İlkokul,8,"Çay Hasadı, Sera Bakımı",Rize,Çayeli,23188,ilan_0033,Firma_59,Toprak İşleme,Kırıkkale,Delice,Üniversite,0,20-41,Farketmez,Var,Var,58759,0.8
isci_0034,47,Lise,0,"Toprak İşleme, Ceviz Hasadı, Çapa",Kocaeli,İzmit,24678,ilan_0034,Firma_81,Pamuk Toplama,Osmaniye,Merkez,Üniversite,0,22-58,Farketmez,Var,Var,23941,0.5
isci_0035,30,Üniversite,14,Pamuk Toplama,Sinop,Merkez,25920,ilan_0035,Firma_2,Fidan Dikimi,Balıkesir,Edremit,Üniversite,4,28-51,Farketmez,Yok,Var,34774,1.0
isci_0036,31,İlkokul,20,"Toprak İşleme, Kiraz Hasadı, Kayısı Hasadı",Tunceli,Pülümür,28019,ilan_0036,Firma_71,Sera Bakımı,Kocaeli,Darıca,Ortaokul,8,19-53,Erkek,Yok,Yok,58971,0.8
isci_0037,25,Lise,11,"Ceviz Hasadı, Ürün Hasadı",Hakkari,Merkez,46635,ilan_0037,Firma_99,Pamuk Toplama,Muğla,Fethiye,Üniversite,8,28-40,Farketmez,Var,Yok,52976,0.5
isci_0038,26,Ortaokul,18,Ceviz Hasadı,Ankara,Çankaya,34421,ilan_0038,Firma_36,Ürün Hasadı,Tekirdağ,Süleymanpaşa,Ortaokul,0,25-55,Erkek,Var,Var,32302,0.7
isci_0039,42,Üniversite,17,"Çay Hasadı, Sera Bakımı, Kayısı Hasadı",İstanbul,Beşiktaş,24973,ilan_0039,Firma_60,Fidan Dikimi,Hatay,Defne,Lise,8,27-50,Farketmez,Yok,Yok,35275,0.8
isci_0040,36,İlkokul,11,"Elma Toplama, Pamuk Toplama, Çay Hasadı",Artvin,Arhavi,41339,ilan_0040,Firma_49,Sera Bakımı,Bursa,Osmangazi,Lise,7,18-45,Bayan,Yok,Var,54262,0.8
isci_0041,31,Ortaokul,14,"Çapa, Pamuk Toplama",Mardin,Artuklu,47326,ilan_0041,Firma_85,Kayısı Hasadı,Şırnak,Silopi,İlkokul,5,30-59,Bayan,Var,Var,44831,0.5
isci_0042,31,Üniversite,10,"Fidan Dikimi, Sera Bakımı",Ankara,Yenimahalle,28780,ilan_0042,Firma_19,Toprak İşleme,Tokat,Erbaa,Lise,10,18-58,Bayan,Yok,Var,57453,0.8
isci_0043,57,Lise,8,Limon Hasadı,Hakkari,Şemdinli,28637,ilan_0043,Firma_72,Elma Toplama,Konya,Meram,Lise,1,22-60,Erkek,Var,Yok,28469,0.7
isci_0044,50,Ortaokul,13,"Limon Hasadı, Pamuk Toplama, Ceviz Hasadı",Samsun,Bafra,53391,ilan_0044,Firma_8,Fidan Dikimi,Bilecik,Merkez,İlkokul,10,26-47,Erkek,Yok,Yok,26505,0.2
isci_0045,40,Lise,16,"Sera Bakımı, Pamuk Toplama, Çay Hasadı",Denizli,Tavas,19734,ilan_0045,Firma_35,Çapa,Adana,Yüreğir,Ortaokul,6,22-53,Farketmez,Var,Yok,55819,0.8
isci_0046,38,Üniversite,12,"Toprak İşleme, Çay Hasadı, Pamuk Toplama",Gaziantep,Şahinbey,54498,ilan_0046,Firma_61,Ürün Hasadı,Sakarya,Erenler,İlkokul,0,20-43,Erkek,Var,Yok,19567,0.5
isci_0047,25,Lise,17,Ürün Hasadı,Kırşehir,Merkez,34140,ilan_0047,Firma_66,Fidan Dikimi,Edirne,Merkez,Ortaokul,5,28-58,Erkek,Yok,Var,19839,0.2
isci_0048,22,İlkokul,10,"Toprak İşleme, Ceviz Hasadı",Bartın,Kurucaşile,17267,ilan_0048,Firma_32,Fidan Dikimi,Kars,Merkez,Ortaokul,5,25-60,Erkek,Yok,Var,44569,0.5
isci_0049,48,Lise,19,"Çay Hasadı, Ürün Hasadı, Pamuk Toplama",Tunceli,Nazımiye,34867,ilan_0049,Firma_7,Elma Toplama,Zonguldak,Merkez,Lise,3,18-58,Erkek,Var,Yok,28958,0.7
isci_0050,22,Lise,8,"Fidan Dikimi, Sera Bakımı, Toprak İşleme",Çanakkale,Biga,38273,ilan_0050,Firma_27,Çapa,Karaman,Ayrancı,Lise,5,19-46,Bayan,Yok,Yok,34475,0.7
isci_0051,25,Ortaokul,16,"Fidan Dikimi, Limon Hasadı, Çay Hasadı",Bayburt,Merkez,19136,ilan_0051,Firma_79,Kayısı Hasadı,Rize,Çayeli,Ortaokul,10,24-42,Erkek,Var,Yok,24414,1.0
isci_0052,23,Lise,9,"Ceviz Hasadı, Kayısı Hasadı",İzmir,Konak,57611,ilan_0052,Firma_61,Çay Hasadı,İzmir,Konak,Ortaokul,5,18-54,Erkek,Var,Var,57479,0.5
isci_0053,55,İlkokul,13,Çapa,Antalya,Muratpaşa,55691,ilan_0053,Firma_54,Ürün Hasadı,Ağrı,Merkez,İlkokul,9,26-51,Farketmez,Var,Var,20835,0.4
isci_0054,59,Üniversite,7,"Çapa, Kayısı Hasadı",Şırnak,Cizre,37309,ilan_0054,Firma_78,Kayısı Hasadı,Bilecik,Söğüt,Lise,8,18-54,Farketmez,Yok,Yok,40059,0.3
isci_0055,20,Ortaokul,6,"Sera Bakımı, Çay Hasadı, Çapa",Kilis,Merkez,32783,ilan_0055,Firma_33,Limon Hasadı,Edirne,Keşan,Üniversite,4,19-49,Erkek,Var,Yok,49861,0.8
isci_0056,45,Ortaokul,15,"Toprak İşleme, Elma Toplama",Ankara,Çankaya,50018,ilan_0056,Firma_50,Sera Bakımı,Giresun,Espiye,İlkokul,10,23-54,Bayan,Var,Yok,30849,0.5
isci_0057,37,Üniversite,17,Ürün Hasadı,Kırşehir,Merkez,28519,ilan_0057,Firma_72,Elma Toplama,Aydın,Söke,Lise,1,24-55,Erkek,Yok,Yok,52435,0.8
isci_0058,26,Lise,0,"Pamuk Toplama, Ceviz Hasadı",Trabzon,Ortahisar,45618,ilan_0058,Firma_45,Çay Hasadı,İstanbul,Beşiktaş,Lise,2,24-54,Erkek,Var,Yok,30625,0.5
isci_0059,57,Üniversite,4,"Fidan Dikimi, Limon Hasadı",Siirt,Kurtalan,58942,ilan_0059,Firma_59,Ceviz Hasadı,Antalya,Konyaaltı,İlkokul,3,19-58,Bayan,Var,Var,33641,0.5
isci_0060,53,Ortaokul,16,Ceviz Hasadı,Balıkesir,Edremit,52580,ilan_0060,Firma_1,Elma Toplama,Diyarbakır,Sur,İlkokul,4,28-60,Bayan,Var,Var,25831,0.5
isci_0061,38,Ortaokul,7,"Limon Hasadı, Elma Toplama, Ceviz Hasadı",Kütahya,Tavşanlı,21649,ilan_0061,Firma_9,Çay Hasadı,Tekirdağ,Çorlu,Lise,10,20-51,Bayan,Yok,Var,50402,0.6
isci_0062,38,İlkokul,15,Limon Hasadı,Bayburt,Aydıntepe,55381,ilan_0062,Firma_76,Fidan Dikimi,Erzincan,Tercan,Lise,9,18-57,Bayan,Yok,Yok,54094,0.5
isci_0063,46,Ortaokul,4,Elma Toplama,Tunceli,Merkez,37550,ilan_0063,Firma_30,Elma Toplama,Şanlıurfa,Eyyübiye,Ortaokul,3,24-56,Erkek,Var,Var,18681,0.7
isci_0064,57,Lise,6,"Kiraz Hasadı, Kayısı Hasadı, Sera Bakımı",Nevşehir,Ürgüp,48433,ilan_0064,Firma_16,Ürün Hasadı,Sivas,Şarkışla,Ortaokul,1,21-56,Erkek,Var,Yok,52842,0.5
isci_0065,39,Üniversite,18,Limon Hasadı,Kırşehir,Çiçekdağı,17539,ilan_0065,Firma_59,Kayısı Hasadı,Afyonkarahisar,Sandıklı,Lise,3,27-57,Farketmez,Var,Var,46649,0.8
isci_0066,58,İlkokul,12,"Fidan Dikimi, Ceviz Hasadı, Elma Toplama",Mardin,Midyat,20017,ilan_0066,Firma_38,Pamuk Toplama,Tokat,Merkez,İlkokul,1,23-59,Farketmez,Yok,Var,31770,1.0
isci_0067,29,Üniversite,8,"Kiraz Hasadı, Ürün Hasadı, Toprak İşleme",Ordu,Ünye,20186,ilan_0067,Firma_16,Ceviz Hasadı,Ağrı,Doğubayazıt,Üniversite,1,24-50,Bayan,Var,Yok,57766,1.0
isci_0068,39,Ortaokul,12,"Çay Hasadı, Pamuk Toplama",Zonguldak,Merkez,24832,ilan_0068,Firma_73,Kayısı Hasadı,Tunceli,Merkez,Ortaokul,4,20-42,Erkek,Yok,Yok,33386,1.0
isci_0069,33,Üniversite,20,"Sera Bakımı, Ceviz Hasadı, Fidan Dikimi",Düzce,Merkez,58554,ilan_0069,Firma_11,Fidan Dikimi,Elazığ,Merkez,Ortaokul,7,26-49,Bayan,Yok,Var,19132,0.5
isci_0070,18,Lise,20,"Elma Toplama, Ürün Hasadı, Pamuk Toplama",Bolu,Merkez,29164,ilan_0070,Firma_93,Limon Hasadı,Ordu,Ünye,Üniversite,6,27-60,Farketmez,Yok,Yok,35630,0.5
isci_0071,52,Ortaokul,15,"Toprak İşleme, Limon Hasadı, Pamuk Toplama",İstanbul,Beşiktaş,18337,ilan_0071,Firma_83,Kiraz Hasadı,Kırşehir,Merkez,Lise,7,18-56,Erkek,Yok,Var,24346,0.8
isci_0072,34,İlkokul,1,"Kiraz Hasadı, Çay Hasadı, Fidan Dikimi",Kırklareli,Babaeski,18062,ilan_0072,Firma_92,Çay Hasadı,Antalya,Muratpaşa,İlkokul,4,18-60,Bayan,Var,Yok,38664,0.8
isci_0073,58,İlkokul,12,"Kayısı Hasadı, Kiraz Hasadı, Elma Toplama",Gümüşhane,Merkez,35418,ilan_0073,Firma_60,Kiraz Hasadı,Kahramanmaraş,Onikişubat,Üniversite,3,30-54,Farketmez,Var,Var,32149,0.2
isci_0074,42,İlkokul,14,"Limon Hasadı, Ceviz Hasadı, Fidan Dikimi",Bartın,Merkez,41000,ilan_0074,Firma_13,Kiraz Hasadı,Sinop,Merkez,Ortaokul,9,29-43,Farketmez,Var,Yok,22818,0.5
isci_0075,58,Üniversite,4,"Ürün Hasadı, Fidan Dikimi, Kiraz Hasadı",Kars,Merkez,23522,ilan_0075,Firma_2,Kiraz Hasadı,Kastamonu,Tosya,Lise,1,25-46,Farketmez,Yok,Yok,40476,0.5
isci_0076,37,Lise,9,Fidan Dikimi,Tekirdağ,Kapaklı,41422,ilan_0076,Firma_64,Kiraz Hasadı,Çankırı,Merkez,Lise,10,28-47,Farketmez,Var,Var,18863,0.5
isci_0077,33,Üniversite,19,"Ürün Hasadı, Sera Bakımı",Antalya,Konyaaltı,42625,ilan_0077,Firma_4,Kayısı Hasadı,Burdur,Gölhisar,Lise,5,29-42,Erkek,Var,Yok,19173,0.5
isci_0078,23,İlkokul,17,"Limon Hasadı, Toprak İşleme",İzmir,Konak,28211,ilan_0078,Firma_97,Çapa,Kırıkkale,Keskin,İlkokul,10,25-58,Erkek,Yok,Var,44168,0.7
isci_0079,54,Ortaokul,18,Çapa,Batman,Merkez,22006,ilan_0079,Firma_61,Ceviz Hasadı,Karabük,Safranbolu,Üniversite,10,21-43,Bayan,Yok,Var,23644,0.5
isci_0080,35,Lise,13,"Ceviz Hasadı, Ürün Hasadı, Sera Bakımı",Aydın,Söke,29147,ilan_0080,Firma_75,Toprak İşleme,Kayseri,Melikgazi,İlkokul,1,20-40,Bayan,Var,Yok,52601,0.8
isci_0081,57,İlkokul,12,"Fidan Dikimi, Kiraz Hasadı",Isparta,Eğirdir,35348,ilan_0081,Firma_52,Ceviz Hasadı,Samsun,Bafra,Ortaokul,5,25-47,Bayan,Var,Yok,28383,0.2
isci_0082,21,Üniversite,6,Toprak İşleme,Amasya,Merzifon,49692,ilan_0082,Firma_64,Çapa,Edirne,Uzunköprü,İlkokul,1,22-42,Farketmez,Yok,Var,33212,0.2
isci_0083,32,Lise,5,Fidan Dikimi,Aksaray,Ortaköy,56197,ilan_0083,Firma_48,Kayısı Hasadı,Hakkari,Merkez,Ortaokul,9,25-42,Farketmez,Var,Var,57036,0.6
isci_0084,30,Lise,16,"Çapa, Fidan Dikimi, Çay Hasadı",Karaman,Ermenek,49413,ilan_0084,Firma_86,Elma Toplama,Sinop,Merkez,İlkokul,2,29-55,Farketmez,Yok,Yok,44245,0.5
isci_0085,49,Lise,3,"Pamuk Toplama, Ürün Hasadı",Ordu,Ünye,35710,ilan_0085,Firma_77,Fidan Dikimi,Van,Erciş,Ortaokul,8,29-54,Bayan,Var,Var,45328,0.6
isci_0086,26,İlkokul,6,"Pamuk Toplama, Çapa",Kayseri,Melikgazi,32600,ilan_0086,Firma_36,Kayısı Hasadı,Çanakkale,Ezine,Lise,0,28-44,Erkek,Yok,Yok,48231,0.5
isci_0087,48,Lise,17,"Çay Hasadı, Sera Bakımı, Kayısı Hasadı",Edirne,Merkez,47030,ilan_0087,Firma_17,Ürün Hasadı,Osmaniye,Düziçi,Ortaokul,0,26-40,Farketmez,Var,Yok,58563,0.5
isci_0088,50,Lise,9,"Toprak İşleme, Ürün Hasadı",Şırnak,Cizre,32936,ilan_0088,Firma_62,Kiraz Hasadı,Bilecik,Merkez,Ortaokul,0,27-52,Erkek,Yok,Yok,57889,0.8
isci_0089,19,Lise,4,"Çapa, Ceviz Hasadı, Elma Toplama",Kilis,Musabeyli,23376,ilan_0089,Firma_97,Sera Bakımı,Gümüşhane,Kelkit,İlkokul,1,26-51,Farketmez,Var,Var,49809,0.5
isci_0090,50,Üniversite,12,"Ceviz Hasadı, Kayısı Hasadı",Bursa,Osmangazi,25532,ilan_0090,Firma_2,Ceviz Hasadı,Manisa,Turgutlu,İlkokul,2,30-41,Erkek,Var,Var,42928,0.5
